                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.30616,                0.46754,                 1.1057,                0.92982,                0.91154,                0.95831,                0.87887,                0.45866,                 0.4629,                0.82166,              0.0021429,              0.0021429,              0.0021429
                     52,                0.30707,                0.46432,                 1.1059,                0.92183,                 0.9262,                0.95946,                0.87736,                0.48819,                0.48781,                0.85796,              0.0020657,              0.0020657,              0.0020657
                     53,                0.30805,                0.45854,                 1.1071,                0.93184,                0.91479,                0.95896,                0.87454,                0.47735,                0.46797,                0.84229,              0.0019886,              0.0019886,              0.0019886
                     54,                0.30476,                0.45008,                 1.1037,                0.93665,                0.91615,                0.96044,                0.87667,                0.48701,                0.48294,                0.85492,              0.0019114,              0.0019114,              0.0019114
                     55,                0.30269,                0.45067,                 1.1022,                0.93126,                0.92568,                 0.9607,                0.87796,                 0.4891,                0.48839,                0.85836,              0.0018343,              0.0018343,              0.0018343
                     56,                0.30153,                0.45277,                 1.1034,                0.93818,                0.92136,                0.96081,                0.87483,                0.49821,                0.50427,                0.87593,              0.0017571,              0.0017571,              0.0017571
                     57,                 0.3007,                 0.4511,                 1.1026,                0.93334,                0.91727,                0.96148,                0.87625,                0.48928,                0.50051,                0.86443,                0.00168,                0.00168,                0.00168
                     58,                 0.3008,                0.44128,                  1.103,                0.94108,                0.91491,                0.96133,                0.88468,                 0.4803,                0.49069,                 0.8411,              0.0016029,              0.0016029,              0.0016029
                     59,                0.29449,                0.44026,                 1.0993,                0.93978,                0.91428,                 0.9621,                0.87954,                0.46389,                0.47007,                0.81481,              0.0015257,              0.0015257,              0.0015257
                     60,                0.29722,                0.44333,                 1.1013,                0.94879,                0.90846,                0.96021,                0.87854,                0.45198,                0.44863,                0.80746,              0.0014486,              0.0014486,              0.0014486
                     61,                0.29379,                0.43452,                 1.0996,                0.95939,                0.90183,                0.96218,                0.87923,                 0.4713,                 0.4759,                0.83715,              0.0013714,              0.0013714,              0.0013714
                     62,                0.28989,                0.43017,                  1.096,                0.95355,                0.90703,                0.96434,                0.88204,                0.47952,                 0.4758,                0.85174,              0.0012943,              0.0012943,              0.0012943
                     63,                0.28877,                0.42428,                 1.0925,                0.95109,                0.90923,                 0.9642,                0.88103,                0.46338,                0.47074,                0.83433,              0.0012171,              0.0012171,              0.0012171
                     64,                 0.2925,                0.43451,                 1.1014,                0.93683,                0.92476,                0.96257,                0.88107,                 0.4687,                0.47454,                0.83492,                0.00114,                0.00114,                0.00114
                     65,                0.28742,                0.42884,                 1.0954,                0.93252,                0.92602,                0.96335,                0.88358,                0.46277,                0.47067,                0.82674,              0.0010629,              0.0010629,              0.0010629
                     66,                0.28382,                0.41894,                 1.0948,                0.93673,                0.92086,                0.96284,                0.88512,                0.46172,                 0.4726,                0.82524,             0.00098571,             0.00098571,             0.00098571
                     67,                0.28455,                0.41626,                 1.0943,                0.94321,                0.91307,                0.96221,                0.88494,                0.46219,                0.47137,                0.82326,             0.00090857,             0.00090857,             0.00090857
                     68,                0.28037,                0.40868,                 1.0918,                0.93004,                 0.9224,                0.96183,                0.88348,                0.46838,                0.48643,                0.83542,             0.00083143,             0.00083143,             0.00083143
                     69,                 0.2817,                0.41068,                 1.0933,                0.92234,                0.92605,                0.96206,                0.88373,                0.46244,                0.48287,                0.82665,             0.00075429,             0.00075429,             0.00075429
